,name,handedness,height,weight,avg,HR,Hand
324,Adolfo Phillips,R,73,175,0.247,59,Right
180,Al Bumbry,L,68,170,0.281,54,Left
356,Al Cowens,R,73,197,0.27,108,Right
181,Al Downing,R,71,175,0.127,2,Right
1012,Al Ferrara,R,73,200,0.259,51,Right
457,Al Gallagher,R,72,180,0.263,11,Right
1143,Al Jones,R,76,210,0.0,0,Right
1015,Al Lachowicz,R,75,198,0.0,0,Right
966,Al Luplow,L,70,175,0.235,33,Left
357,Al Oliver,L,72,195,0.303,219,Left
820,Al Weis,B,72,160,0.219,7,Both
615,Al Woods,L,75,190,0.271,35,Left
981,Alan Ashby,B,74,185,0.245,90,Both
1120,Alan Bannister,R,71,170,0.27,19,Right
494,Alan Knicely,R,72,190,0.213,12,Right
886,Alan Wiggins,B,74,160,0.259,5,Both
1054,Alan Wirth,R,76,190,0.0,0,Right
513,Albert Hall,B,71,155,0.251,5,Both
106,Albert Williams,R,76,190,0.0,0,Right
724,Alex Johnson,R,72,205,0.288,78,Right
944,Alex Sanchez,R,74,185,0.0,0,Right
572,Alex Trevino,R,70,165,0.249,23,Right
603,Alfredo Martinez,R,75,185,0.0,0,Right
202,Allan Ramirez,R,70,180,0.0,0,Right
397,Amos Otis,R,71,165,0.277,193,Right
749,Andre Robertson,R,70,155,0.251,5,Right
892,Andre Thornton,R,75,200,0.254,253,Right
883,Andres Mora,R,72,180,0.223,27,Right
257,Andres Thomas,R,73,170,0.234,42,Right
192,Andy Beene,R,75,205,0.0,0,Right
174,Andy Etchebarren,R,73,190,0.235,49,Right
477,Andy Kosco,R,75,205,0.236,73,Right
380,Andy Messersmith,R,73,200,0.17,5,Right
142,Andy Replogle,R,77,205,0.0,0,Right
241,Angel Mangual,R,70,178,0.245,22,Right
501,Angel Moreno,L,69,165,0.0,0,Left
153,Angel Salazar,R,72,180,0.212,2,Right
426,Art Howe,R,74,190,0.26,43,Right
1067,Art Shamsky,L,73,168,0.253,68,Left
254,Aurelio Rodriguez,R,70,180,0.237,124,Right
484,Bake McBride,L,74,190,0.299,63,Left
514,Barbaro Garbey,R,70,170,0.267,11,Right
651,Barry Bonnell,R,75,190,0.272,56,Right
111,Barry Cort,R,77,210,0.0,0,Right
455,Barry Evans,R,73,180,0.251,2,Right
884,Barry Foote,R,75,205,0.23,57,Right
160,Barry Raziano,B,70,175,0.0,0,Both
128,Ben Callahan,R,79,230,0.0,0,Right
635,Ben Oglivie,L,74,160,0.273,235,Left
144,Benny Ayala,R,73,185,0.251,38,Right
389,Bernie Allen,L,72,175,0.239,73,Left
470,Bernie Carbo,L,71,173,0.264,96,Left
403,Bert Bradley,B,73,190,0.0,0,Both
1001,Bert Campaneris,R,70,160,0.259,79,Right
744,Biff Pocoroba,B,70,175,0.257,21,Both
1104,Bill Almon,R,75,180,0.254,36,Right
518,Bill Buckner,L,72,185,0.289,174,Left
894,Bill Castro,R,71,170,0.0,0,Right
387,Bill Fahey,L,72,200,0.241,7,Left
1080,Bill Freehan,R,75,203,0.262,200,Right
595,Bill Fulton,R,75,195,0.0,0,Right
792,Bill Madlock,R,71,180,0.305,163,Right
512,Bill Melton,R,74,200,0.253,160,Right
620,Bill Mooneyham,R,72,175,0.0,0,Right
332,Bill Moran,R,76,210,0.0,0,Right
791,Bill Nahorodny,R,74,200,0.241,25,Right
810,Bill Paschall,R,72,175,0.0,0,Right
1132,Bill Plummer,R,73,190,0.188,14,Right
265,Bill Robinson,R,74,189,0.258,166,Right
1073,Bill Russell,R,72,175,0.263,46,Right
914,Bill Sample,R,69,175,0.272,46,Right
956,Bill Schroeder,R,74,200,0.24,61,Right
1119,Bill Sharp,L,70,178,0.255,9,Left
654,Bill Stein,R,70,170,0.267,44,Right
666,Bill Sudakis,B,73,190,0.234,59,Both
721,Bill Voss,L,74,160,0.227,19,Left
115,Bill Wilkinson,R,70,160,0.0,0,Right
289,Billy Bryan,L,76,200,0.216,41,Left
197,Billy Conigliaro,R,72,180,0.256,40,Right
200,Billy Cowan,R,72,170,0.236,40,Right
845,Billy Grabarkewitz,R,70,165,0.236,28,Right
440,Billy North,B,71,185,0.261,20,Both
201,Billy Smith,B,74,185,0.23,17,Both
60,Bo Diaz,R,71,185,0.255,87,Right
423,Bob Babcock,R,77,210,0.0,0,Right
783,Bob Bailey,R,73,180,0.257,189,Right
874,Bob Bailor,R,71,170,0.264,9,Right
1009,Bob Barton,R,72,175,0.226,9,Right
793,Bob Boone,R,74,195,0.254,105,Right
982,Bob Brenly,R,74,210,0.247,91,Right
976,Bob Brower,R,71,185,0.242,17,Right
1113,Bob Burda,L,71,174,0.224,13,Left
912,Bob Chance,L,74,196,0.261,24,Left
1116,Bob Coluccio,R,71,183,0.22,26,Right
833,Bob Davidson,R,72,185,0.0,0,Right
282,Bob Davis,R,72,180,0.197,6,Right
511,Bob Dernier,R,72,160,0.255,23,Right
182,Bob Didier,B,72,190,0.229,0,Both
65,Bob Fallon,L,75,200,0.0,0,Left
474,Bob Ferris,R,78,225,0.0,0,Right
953,Bob Forsch,R,76,200,0.213,12,Right
910,Bob Galasso,L,73,205,0.0,0,Left
853,Bob Heise,R,72,175,0.247,1,Right
563,Bob Horner,R,73,195,0.277,218,Right
637,Bob Johnson,R,70,175,0.272,44,Right
601,Bob Jones,L,74,195,0.221,20,Left
351,Bob Kammeyer,R,76,210,0.0,0,Right
449,Bob Kearney,R,72,190,0.233,27,Right
416,Bob Knepper,L,75,195,0.137,6,Left
764,Bob Meacham,B,73,175,0.236,8,Both
490,Bob Molinaro,L,72,190,0.264,14,Left
346,Bob Montgomery,R,73,195,0.258,23,Right
893,Bob Oliver,R,75,205,0.256,94,Right
362,Bob Randall,R,74,175,0.257,1,Right
899,Bob Robertson,R,73,195,0.242,115,Right
589,Bob Stinson,B,71,180,0.25,33,Both
271,Bob Tillman,R,76,205,0.232,79,Right
686,Bob Uecker,R,73,190,0.2,14,Right
584,Bob Veale,B,78,212,0.114,0,Both
468,Bob Veselic,R,72,175,0.0,0,Right
1121,Bob Watson,R,72,201,0.295,184,Right
1026,Bobby Bonds,R,73,190,0.268,332,Right
340,Bobby Brown,B,74,190,0.245,26,Both
557,Bobby Clark,R,72,190,0.239,19,Right
26,Bobby Cox,R,71,180,0.225,9,Right
133,Bobby Cuellar,R,71,188,0.0,0,Right
870,Bobby Darwin,R,74,190,0.251,83,Right
692,Bobby Grich,R,74,180,0.266,224,Right
432,Bobby Klaus,R,70,170,0.208,6,Right
339,Bobby Knoop,R,73,170,0.236,56,Right
454,Bobby Mitchell,R,75,185,0.235,21,Right
453,Bobby Mitchell,L,70,170,0.243,3,Left
787,Bobby Murcer,L,71,160,0.277,252,Left
628,Bobby Tolan,L,71,170,0.265,86,Left
1002,Bobby Valentine,R,70,189,0.26,12,Right
1123,Bobby Wine,R,73,187,0.215,30,Right
443,Bombo Rivera,R,70,187,0.265,10,Right
866,Boog Powell,L,76,230,0.266,339,Left
569,Boots Day,L,69,160,0.256,8,Left
27,Brad Wellman,R,72,170,0.231,6,Right
640,Brant Alyea,R,75,215,0.247,38,Right
207,Brian Allard,R,73,175,0.0,0,Right
1138,Brian Asselstine,L,73,175,0.254,12,Left
62,Brian Denman,R,76,205,0.0,0,Right
212,Brian Dubois,L,70,165,0.0,0,Left
570,Brian Giles,R,73,165,0.228,10,Right
836,Brian Snyder,L,75,185,0.0,0,Left
22,Britt Burns,L,77,215,0.0,0,Left
695,Brock Davis,L,70,160,0.26,1,Left
945,Broderick Perkins,L,70,180,0.271,8,Left
936,Bruce Benedict,R,73,175,0.242,18,Right
469,Bruce Bochte,L,75,195,0.282,100,Left
390,Bruce Bochy,R,75,205,0.239,26,Right
98,Bruce Boisclair,L,74,185,0.263,10,Left
952,Bruce Ellingsen,L,72,180,0.0,0,Left
873,Bruce Miller,R,73,185,0.246,1,Right
193,Bruce Robbins,L,73,190,0.0,0,Left
147,Bruce Tanner,L,75,220,0.0,0,Left
897,Bruce Taylor,R,72,178,0.0,0,Right
79,Bryan Clutterbuck,R,76,223,0.0,0,Right
1079,Bryan Kelly,R,74,195,0.0,0,Right
777,Bryan Little,B,70,160,0.245,3,Both
95,Bryan Oelkers,L,75,192,0.0,0,Left
1075,Bubba Morton,R,70,175,0.267,14,Right
17,Buck Martinez,R,70,190,0.225,58,Right
1133,Buck Rodgers,B,74,190,0.232,31,Both
191,Bucky Dent,R,69,170,0.247,40,Right
52,Bud Anderson,R,75,210,0.0,0,Right
415,Bud Harrelson,B,71,160,0.236,7,Both
614,Buddy Bell,R,73,180,0.279,201,Right
684,Buddy Biancalana,B,71,160,0.205,6,Both
701,Buddy Bradford,R,71,170,0.226,52,Right
61,Bump Wills,B,69,172,0.266,36,Both
472,Burt Hooton,R,73,210,0.123,4,Right
309,Butch Edge,R,75,203,0.0,0,Right
879,Butch Hobson,R,73,193,0.248,98,Right
1071,Butch Wynegar,B,73,190,0.255,65,Both
80,Byron Browne,R,74,190,0.236,30,Right
812,Byron McLaughlin,R,73,175,0.0,0,Right
784,Cap Peterson,R,74,195,0.23,19,Right
728,Cardell Camper,R,75,208,0.0,0,Right
545,Carl Morton,R,72,200,0.156,7,Right
800,Carl Taylor,R,74,200,0.266,10,Right
766,Carl Warwick,R,70,170,0.248,31,Right
422,Carl Yastrzemski,L,71,175,0.285,452,Left
958,Carlos May,L,71,200,0.274,90,Left
839,Carlos Velazquez,R,71,180,0.0,0,Right
365,Carmen Fanzone,R,72,200,0.224,20,Right
989,Catfish Hunter,R,72,190,0.226,6,Right
1103,Cecil Cooper,L,74,165,0.298,241,Left
832,Cesar Cedeno,R,74,175,0.285,199,Right
288,Cesar Geronimo,L,72,165,0.258,51,Left
334,Cesar Gutierrez,R,69,155,0.235,0,Right
72,Cesar Tovar,R,69,155,0.278,46,Right
999,Champ Summers,L,74,205,0.255,54,Left
682,Charley Smith,R,73,170,0.239,69,Right
562,Charlie James,R,73,195,0.255,29,Right
809,Charlie Mitchell,R,75,170,0.0,0,Right
933,Charlie Moore,R,71,180,0.261,36,Right
211,Charlie Spikes,R,75,215,0.246,65,Right
753,Chet Lemon,R,72,190,0.273,215,Right
726,Chico Escarrega,R,71,185,0.0,0,Right
1126,Chico Ruiz,B,72,169,0.24,2,Both
172,Chico Salmon,R,70,160,0.249,31,Right
517,Chris Bando,B,72,195,0.227,27,Both
215,Chris Batton,R,76,195,0.0,0,Right
179,Chris Brown,R,72,185,0.269,38,Right
372,Chris Cannizzaro,R,72,190,0.235,18,Right
67,Chris Chambliss,L,73,195,0.279,185,Left
505,Chris Knapp,R,77,195,0.0,0,Right
1046,Chris Speier,R,73,175,0.246,112,Right
581,Chuck Harrison,R,70,185,0.238,17,Right
188,Chuck Hiller,L,71,170,0.243,20,Left
234,Chuck Hinton,R,73,180,0.264,113,Right
473,Chuck Hockenbery,B,73,195,0.0,0,Both
1000,Chuck Porter,R,75,187,0.0,0,Right
204,Chuck Schilling,R,70,160,0.239,23,Right
155,Cito Gaston,R,75,190,0.256,91,Right
392,Claudell Washington,L,72,190,0.278,164,Left
1147,Clay Christiansen,R,77,205,0.0,0,Right
957,Clay Dalrymple,L,72,190,0.233,55,Left
756,Cleon Jones,R,72,185,0.281,93,Right
559,Cliff Johnson,R,76,215,0.258,196,Right
555,Clint Hurdle,L,75,195,0.259,32,Left
671,Clint Zavaras,R,73,175,0.0,0,Right
335,Coco Laboy,R,70,165,0.233,28,Right
986,Colby Ward,R,74,185,0.0,0,Right
156,Cookie Rojas,R,70,160,0.263,54,Right
739,Craig Chamberlain,R,73,190,0.0,0,Right
424,Craig Eaton,R,71,175,0.0,0,Right
917,Craig Kusick,R,75,210,0.235,46,Right
599,Craig Mitchell,R,75,180,0.0,0,Right
354,Craig Reynolds,L,73,175,0.256,42,Left
270,Craig Robinson,R,70,165,0.219,0,Right
697,Curt Blefary,L,74,195,0.237,112,Left
1110,Curt Ford,L,70,150,0.245,7,Left
905,Curt Kaufman,R,74,175,0.0,0,Right
760,Curt Motton,R,68,164,0.213,25,Right
272,Curt Wardle,L,77,220,0.0,0,Left
70,Dal Maxvill,R,71,157,0.217,6,Right
762,Dale Berra,R,72,180,0.236,49,Right
550,Dalton Jones,L,73,180,0.235,41,Left
862,Damaso Garcia,R,73,165,0.283,36,Right
400,Dan Briggs,L,72,180,0.195,12,Left
872,Dan Driessen,L,71,187,0.267,153,Left
159,Dan Ford,R,73,185,0.27,121,Right
708,Dan Meyer,L,71,180,0.253,86,Left
1044,Dan Morogiello,L,73,200,0.0,0,Left
607,Dane Iorg,L,72,180,0.276,14,Left
323,Danny Ainge,R,76,175,0.22,2,Right
955,Danny Cater,R,72,170,0.276,66,Right
171,Danny Fife,R,75,175,0.0,0,Right
414,Danny Goodwin,L,73,195,0.236,13,Left
385,Danny Thompson,R,72,183,0.248,15,Right
25,Danny Walton,R,72,195,0.223,28,Right
1077,Darrel Chaney,B,74,188,0.217,14,Both
1028,Darrell Brown,B,72,184,0.274,1,Both
16,Darrell Evans,L,74,200,0.248,414,Left
538,Darrell Porter,L,72,193,0.247,188,Left
161,Darryl Motley,R,69,196,0.243,44,Right
1010,Daryl Sconiers,L,74,185,0.265,15,Left
698,Daryl Smith,R,76,185,0.0,0,Right
818,Dave Campbell,R,73,180,0.213,20,Right
190,Dave Cash,R,71,170,0.283,21,Right
382,Dave Chalk,R,70,175,0.252,15,Right
119,Dave Collins,B,71,175,0.272,32,Both
176,Dave Concepcion,R,74,155,0.267,101,Right
465,Dave Duncan,R,74,190,0.214,109,Right
731,Dave Edwards,R,72,170,0.237,14,Right
297,Dave Engle,R,75,210,0.262,31,Right
158,Dave Ford,R,76,190,0.0,0,Right
789,Dave Frost,R,78,235,0.0,0,Right
358,Dave Hilton,R,71,191,0.213,6,Right
600,Dave Hostetler,R,76,215,0.229,37,Right
1127,Dave Johnson,R,73,183,0.0,0,Right
45,Dave Kingman,R,78,210,0.236,442,Right
1142,Dave Lemanczyk,R,76,235,0.0,0,Right
592,Dave Marshall,L,73,182,0.246,16,Left
843,Dave May,L,70,186,0.251,96,Left
140,Dave McKay,B,73,195,0.229,21,Both
1027,Dave McNally,R,71,185,0.133,9,Right
775,Dave Nelson,R,70,160,0.244,20,Right
1016,Dave Nicholson,R,74,215,0.212,61,Right
1117,Dave Rader,L,71,165,0.257,30,Left
718,Dave Rajsich,L,77,175,0.0,0,Left
1109,Dave Revering,L,76,210,0.265,62,Left
206,Dave Roberts,R,75,215,0.239,49,Right
245,Dave Roberts,L,75,195,0.194,7,Left
727,Dave Rosello,R,71,160,0.236,10,Right
41,Dave Skaggs,R,74,200,0.241,3,Right
699,Dave Smith,R,73,190,0.0,0,Right
704,Dave Stapleton,R,73,178,0.271,41,Right
703,Dave Stapleton,L,73,185,0.0,0,Left
962,Davey Johnson,R,73,170,0.261,136,Right
988,Davey Lopes,R,69,170,0.263,155,Right
940,David Green,R,75,170,0.268,31,Right
685,De Wayne Buice,R,72,170,0.0,0,Right
908,De Wayne Vaughn,R,71,180,0.0,0,Right
604,Dean Chance,R,75,200,0.066,0,Right
975,Del Unser,L,73,180,0.258,87,Left
1030,Denis Menke,R,72,185,0.25,101,Right
799,Dennis Burtt,R,72,180,0.0,0,Right
871,Dennis DeBarr,L,74,190,0.0,0,Left
3,Denny Doyle,L,69,175,0.25,16,Left
1,Denny Lemaster,R,73,182,0.13,4,Right
187,Denny McLain,R,73,185,0.133,1,Right
622,Deron Johnson,R,74,200,0.244,245,Right
425,Derrel Thomas,B,72,160,0.249,43,Both
523,Dewey Robinson,R,72,180,0.0,0,Right
968,Dick Allen,R,71,187,0.292,351,Right
7,Dick Bertell,R,72,200,0.25,10,Right
467,Dick Billings,R,73,195,0.227,16,Right
485,Dick Davis,R,75,190,0.265,27,Right
451,Dick Dietz,R,73,195,0.261,66,Right
606,Dick Green,R,70,180,0.24,80,Right
129,Dick Howser,R,68,155,0.248,16,Right
327,Dick McAuliffe,L,71,176,0.247,197,Left
1078,Dick Nen,L,74,200,0.224,21,Left
256,Dick Phillips,L,72,180,0.229,12,Left
42,Dick Ruthven,R,75,190,0.183,1,Right
123,Dick Simpson,R,76,176,0.207,15,Right
788,Dick Tracewski,R,71,160,0.213,8,Right
610,Doc Edwards,R,74,215,0.238,15,Right
668,Domingo Ramos,R,70,154,0.24,8,Right
383,Don Baylor,R,73,190,0.26,338,Right
638,Don Buford,B,67,160,0.264,93,Both
1099,Don Cooper,R,73,185,0.0,0,Right
864,Don Gordon,R,73,175,0.0,0,Right
850,Don Hahn,R,73,180,0.236,7,Right
863,Don Kainer,R,75,205,0.0,0,Right
482,Don Kessinger,B,73,170,0.252,14,Both
805,Don Leppert,R,74,220,0.229,15,Right
199,Don Lock,R,74,195,0.238,122,Right
264,Don Mason,L,71,160,0.205,3,Left
576,Don Mincher,L,75,205,0.249,200,Left
1050,Don Money,R,73,170,0.261,176,Right
1092,Don Sutton,R,73,185,0.144,0,Right
508,Don Welchel,R,76,205,0.0,0,Right
624,Don Wert,R,70,162,0.242,77,Right
824,Don Wilson,R,74,195,0.146,1,Right
561,Donn Clendenon,R,76,209,0.274,159,Right
969,Doug Ault,R,75,200,0.236,17,Right
388,Doug Camilli,R,71,195,0.199,18,Right
679,Doug Clemens,L,72,180,0.229,12,Left
841,Doug DeCinces,R,74,190,0.259,237,Right
402,Doug Flynn,R,71,165,0.238,7,Right
1129,Doug Frobel,L,76,196,0.201,20,Left
736,Doug Griffin,R,72,160,0.245,7,Right
927,Doug Rader,R,74,208,0.251,155,Right
276,Duane Josephson,R,72,190,0.258,23,Right
639,Duane Kuiper,L,72,175,0.271,1,Left
277,Duane Walker,L,72,185,0.229,24,Left
216,Duffy Dyer,R,72,187,0.221,30,Right
408,Duke Sims,L,74,197,0.239,100,Left
586,Dusty Baker,R,74,183,0.278,242,Right
1088,Dwayne Murphy,L,73,185,0.246,166,Left
847,Earl Williams,R,75,215,0.247,138,Right
48,Ed Brinkman,R,72,170,0.224,60,Right
1140,Ed Charles,R,70,170,0.263,86,Right
258,Ed Crosby,L,74,175,0.22,0,Left
317,Ed Goodson,L,75,180,0.26,30,Left
487,Ed Herrmann,L,73,195,0.24,80,Left
895,Ed Hodge,L,74,192,0.0,0,Left
1059,Ed Kirkpatrick,L,71,195,0.238,85,Left
185,Ed Kranepool,L,75,205,0.261,118,Left
885,Ed Ott,L,70,190,0.259,33,Left
1101,Ed Romero,R,71,160,0.247,8,Right
120,Ed Spiezio,R,71,180,0.238,39,Right
1006,Ed Stroud,L,71,180,0.237,14,Left
717,Eddie Leon,R,72,170,0.236,24,Right
151,Eddie Milner,L,71,173,0.253,42,Left
90,Elio Chacon,R,69,160,0.232,4,Right
1061,Ellie Hendricks,L,73,175,0.22,62,Left
1076,Ellie Rodriguez,R,71,185,0.245,16,Right
86,Elliott Maddox,R,71,180,0.261,18,Right
963,Ellis Valentine,R,76,205,0.278,123,Right
438,Enos Cabell,R,76,170,0.277,60,Right
333,Enzo Hernandez,R,68,155,0.224,2,Right
1137,Eric Hetzel,R,75,175,0.0,0,Right
46,Eric Soderholm,R,71,187,0.264,102,Right
21,Eric Wilkins,R,73,190,0.0,0,Right
574,Felix Millan,R,71,172,0.279,22,Right
687,Felix Torres,R,71,165,0.254,27,Right
